id,level,section,passage,question,choice_a,choice_b,choice_c,choice_d,correct_answer,explanation_en,explanation_ko,part,rank,item_type,source
n5-reading-d-2,N5,reading,らいしゅうのつちようび、わたしのたんじょうびです。ともだちをいえによんで、パーティーをします。ケーキをつくって、おんがくをききます。とても たのしみです。,だれを いえに よびますか。,かぞく,ともだち,せんせい,かいしゃのひと,B,The passage says friends are invited home.,친구를 집에 초대한다고 나와 있습니다.,5,4,mid_size_passage,legacy_app_authored
n5-reading-d-3,N5,reading,らいしゅうのつちようび、わたしのたんじょうびです。ともだちをいえによんで、パーティーをします。ケーキをつくって、おんがくをききます。とても たのしみです。,パーティーで なにを つくりますか。,サンドイッチ,ケーキ,すし,カレー,B,The passage says a cake is made.,케이크를 만든다고 나와 있습니다.,6,4,information_retrieval,legacy_app_authored
n4-reading-a-1,N4,reading,さいきん、しごとがいそがしくて、なかなかりょこうにいけません。でも、らいげつのれんきゅうに、かぞくとおきなわへいくよていです。ひさしぶりのりょこうなので、とてもたのしみにしています。,なぜ りょこうに いけませんでしたか。,しごとがいそがしいから,おかねがないから,びょうきだったから,てんきがわるいから,A,"The passage says work has been busy, so travel wasn't possible.",일이 바빠서 여행을 갈 수 없었다고 나와 있습니다.,4,1,short_passage,legacy_app_authored
n4-reading-a-2,N4,reading,さいきん、しごとがいそがしくて、なかなかりょこうにいけません。でも、らいげつのれんきゅうに、かぞくとおきなわへいくよていです。ひさしぶりのりょこうなので、とてもたのしみにしています。,らいげつ、だれと どこへ いきますか。,ひとりでおきなわ,かぞくとおきなわ,ともだちとほっかいどう,かぞくとほっかいどう,B,The passage says they will go to Okinawa with family.,가족과 오키나와에 갈 예정이라고 나와 있습니다.,5,1,mid_size_passage,legacy_app_authored
n4-reading-a-3,N4,reading,さいきん、しごとがいそがしくて、なかなかりょこうにいけません。でも、らいげつのれんきゅうに、かぞくとおきなわへいくよていです。ひさしぶりのりょこうなので、とてもたのしみにしています。,この ひとは いま どんな きもちですか。,たのしみ,しんぱい,かなしい,おこっている,A,The passage says they are looking forward to the trip.,여행을 기대하고 있다고 나와 있습니다.,6,1,information_retrieval,legacy_app_authored
n4-reading-b-1,N4,reading,わたしはさいきんじてんしゃつうきんをはじめました。まえはでんしゃでかいしゃにかよっていましたが、うんどうぶそくがきになって、じてんしゃにかえました。まいあさ30ぷんかかりますが、けんこうにいいとおもいます。,まえは なにで かいしゃに かよっていましたか。,じてんしゃ,でんしゃ,バス,くるま,B,The passage says they used to commute by train.,예전에는 전철로 통근했다고 나와 있습니다.,4,2,short_passage,legacy_app_authored
n4-reading-b-2,N4,reading,わたしはさいきんじてんしゃつうきんをはじめました。まえはでんしゃでかいしゃにかよっていましたが、うんどうぶそくがきになって、じてんしゃにかえました。まいあさ30ぷんかかりますが、けんこうにいいとおもいます。,なぜ じてんしゃに かえましたか。,うんどうぶそくがきになったから,でんしゃがたかいから,でんしゃがおくれるから,じてんしゃがすきだから,A,The passage says they were concerned about lack of exercise.,운동 부족이 신경 쓰여서 자전거로 바꿨다고 나와 있습니다.,5,2,mid_size_passage,legacy_app_authored
n4-reading-b-3,N4,reading,わたしはさいきんじてんしゃつうきんをはじめました。まえはでんしゃでかいしゃにかよっていましたが、うんどうぶそくがきになって、じてんしゃにかえました。まいあさ30ぷんかかりますが、けんこうにいいとおもいます。,かいしゃまで どのくらい かかりますか。,10ぷん,20ぷん,30ぷん,1じかん,C,The passage says it takes 30 minutes every morning.,매일 아침 30분이 걸린다고 나와 있습니다.,6,2,information_retrieval,legacy_app_authored
n4-reading-c-1,N4,reading,このアパートはえきからちかくて、べんりです。でも、へやがせまくて、かぐをおくばしょがすくないです。らいねん、もうすこしひろいへやにひっこそうとおもっています。,この アパートの いい ところは なんですか。,えきからちかい,へやがひろい,やすい,しずか,A,The passage says it's close to the station.,역에서 가깝다는 것이 좋은 점이라고 나와 있습니다.,4,3,short_passage,legacy_app_authored
n4-reading-c-2,N4,reading,このアパートはえきからちかくて、べんりです。でも、へやがせまくて、かぐをおくばしょがすくないです。らいねん、もうすこしひろいへやにひっこそうとおもっています。,この アパートの もんだいは なんですか。,うるさい,へやがせまい,たかい,ふるい,B,The passage says the room is small.,방이 좁다는 것이 문제라고 나와 있습니다.,5,3,mid_size_passage,legacy_app_authored
n4-reading-c-3,N4,reading,このアパートはえきからちかくて、べんりです。でも、へやがせまくて、かぐをおくばしょがすくないです。らいねん、もうすこしひろいへやにひっこそうとおもっています。,らいねん なにを する つもりですか。,ひっこす,しごとをかえる,けっこんする,りょこうする,A,The passage says they plan to move next year.,내년에 이사할 생각이라고 나와 있습니다.,6,3,information_retrieval,legacy_app_authored
n4-reading-d-1,N4,reading,こどものとき、りょうりがきらいでしたが、いまはじぶんでりょうりをつくるのがすきです。しゅうまつは、いつもあたらしいレシピにちょうせんしています。せんしゅうは、たいりょうりをつくってみました。,こどもの とき、りょうりに ついて どう おもって いましたか。,すきだった,きらいだった,とくいだった,きょうみがなかった,B,The passage says they disliked cooking as a child.,어릴 때는 요리를 싫어했다고 나와 있습니다.,4,4,short_passage,legacy_app_authored
n4-reading-d-2,N4,reading,こどものとき、りょうりがきらいでしたが、いまはじぶんでりょうりをつくるのがすきです。しゅうまつは、いつもあたらしいレシピにちょうせんしています。せんしゅうは、たいりょうりをつくってみました。,しゅうまつ、なにを しますか。,あたらしいレシピにちょうせんする,そとでたべる,うんどうする,テレビをみる,A,The passage says they try new recipes on weekends.,주말에는 새로운 레시피에 도전한다고 나와 있습니다.,5,4,mid_size_passage,legacy_app_authored
n4-reading-d-3,N4,reading,こどものとき、りょうりがきらいでしたが、いまはじぶんでりょうりをつくるのがすきです。しゅうまつは、いつもあたらしいレシピにちょうせんしています。せんしゅうは、たいりょうりをつくってみました。,せんしゅう、なにを つくりましたか。,にほんりょうり,たいりょうり,ちゅうかりょうり,フランスりょうり,B,The passage says they tried making Thai food last week.,지난주에는 태국 요리를 만들어봤다고 나와 있습니다.,6,4,information_retrieval,legacy_app_authored
n3-reading-a-1,N3,reading,げんだいしゃかいでは、インターネットのふきゅうによって、じょうほうをえるほうほうがおおきくかわった。むかしはしんぶんやテレビがおもなじょうほうげんだったが、いまはスマートフォンひとつでせかいじゅうのニュースをすぐにしることができる。しかし、じょうほうがおおすぎて、なにをしんじればいいかわからなくなることもある。,むかしの おもな じょうほうげんは なんでしたか。,インターネット,しんぶんやテレビ,スマートフォン,ラジオ,B,The passage says newspapers and TV used to be the main information sources.,예전에는 신문과 텔레비전이 주요 정보원이었다고 나와 있습니다.,4,1,short_passage,legacy_app_authored
n3-reading-a-2,N3,reading,げんだいしゃかいでは、インターネットのふきゅうによって、じょうほうをえるほうほうがおおきくかわった。むかしはしんぶんやテレビがおもなじょうほうげんだったが、いまはスマートフォンひとつでせかいじゅうのニュースをすぐにしることができる。しかし、じょうほうがおおすぎて、なにをしんじればいいかわからなくなることもある。,いま じょうほうを えるのに なにが べんりですか。,しんぶん,テレビ,スマートフォン,ざっし,C,The passage says a smartphone lets you get news from around the world instantly.,지금은 스마트폰 하나로 세계 뉴스를 바로 알 수 있다고 나와 있습니다.,5,1,mid_size_passage,legacy_app_authored
n3-reading-a-3,N3,reading,げんだいしゃかいでは、インターネットのふきゅうによって、じょうほうをえるほうほうがおおきくかわった。むかしはしんぶんやテレビがおもなじょうほうげんだったが、いまはスマートフォンひとつでせかいじゅうのニュースをすぐにしることができる。しかし、じょうほうがおおすぎて、なにをしんじればいいかわからなくなることもある。,じょうほうが おおすぎると、どんな もんだいが おきますか。,なにをしんじればいいかわからない,じょうほうがたりない,しんぶんがうれない,テレビがみられない,A,The passage says too much information can make it hard to know what to believe.,정보가 너무 많으면 무엇을 믿어야 할지 모르게 된다고 나와 있습니다.,6,1,long_passage,legacy_app_authored
n3-reading-b-1,N3,reading,さいきん、しょくじのあいだ、スマートフォンをつかうひとがふえている。しかし、しょくじちゅうにスマートフォンをつかうと、りょうりのあじをじゅうぶんにあじわえないだけでなく、いっしょにたべているひととのかいわもへってしまう。しょくじのじかんくらいは、スマートフォンをおいて、りょうりとかいわをたのしんだほうがいいとおもう。,さいきんの けいこうは なんですか。,しょくじちゅうにスマートフォンをつかうひとがふえた,がいしょくするひとがふえた,りょうりをするひとがふえた,かいわがふえた,A,The passage says more people use smartphones during meals.,요즘 식사 중 스마트폰을 사용하는 사람이 늘고 있다고 나와 있습니다.,7,1,information_retrieval,legacy_app_authored
n3-reading-b-2,N3,reading,さいきん、しょくじのあいだ、スマートフォンをつかうひとがふえている。しかし、しょくじちゅうにスマートフォンをつかうと、りょうりのあじをじゅうぶんにあじわえないだけでなく、いっしょにたべているひととのかいわもへってしまう。しょくじのじかんくらいは、スマートフォンをおいて、りょうりとかいわをたのしんだほうがいいとおもう。,しょくじちゅうの スマートフォンの しようは どんな もんだいが ありますか。,あじをじゅうぶんにあじわえない,りょうりがつくれない,おかねがかかる,じかんがかからない,A,The passage says you can't fully enjoy the taste of the food.,요리의 맛을 충분히 음미할 수 없다는 문제가 있다고 나와 있습니다.,4,2,short_passage,legacy_app_authored
n3-reading-b-3,N3,reading,さいきん、しょくじのあいだ、スマートフォンをつかうひとがふえている。しかし、しょくじちゅうにスマートフォンをつかうと、りょうりのあじをじゅうぶんにあじわえないだけでなく、いっしょにたべているひととのかいわもへってしまう。しょくじのじかんくらいは、スマートフォンをおいて、りょうりとかいわをたのしんだほうがいいとおもう。,ひっしゃは しょくじの じかんに なにを した ほうが いいと おもって いますか。,スマートフォンをつかう,りょうりとかいわをたのしむ,しごとをする,べんきょうする,B,The author suggests enjoying the food and conversation instead.,필자는 요리와 대화를 즐기는 편이 좋다고 생각합니다.,5,2,mid_size_passage,legacy_app_authored
n3-reading-c-1,N3,reading,にほんでは、しょうしこうれいかがすすみ、はたらくひとのかずがへっている。この もんだいをかいけつするために、せいふはロボットやじんこうちのうのりようをすすめている。こうじょうやびょういんなどで、すでにロボットがひとのかわりにさまざまなさぎょうをおこなっている。,にほんは いま どんな もんだいを かかえて いますか。,しょうしこうれいか,けいざいせいちょう,じんこうぞうか,ぶっかのじょうしょう,A,The passage says Japan faces a declining birthrate and aging population.,일본은 저출산 고령화 문제를 겪고 있다고 나와 있습니다.,6,2,long_passage,legacy_app_authored
n3-reading-c-2,N3,reading,にほんでは、しょうしこうれいかがすすみ、はたらくひとのかずがへっている。この もんだいをかいけつするために、せいふはロボットやじんこうちのうのりようをすすめている。こうじょうやびょういんなどで、すでにロボットがひとのかわりにさまざまなさぎょうをおこなっている。,せいふは この もんだいを かいけつする ために なにを すすめて いますか。,いみんのじゅにゅう,ロボットやじんこうちのうのりよう,しゅっさんのきんし,ぞうぜい,B,The passage says the government is promoting the use of robots and AI.,정부는 로봇과 인공지능 활용을 추진하고 있다고 나와 있습니다.,7,2,information_retrieval,legacy_app_authored
n3-reading-c-3,N3,reading,にほんでは、しょうしこうれいかがすすみ、はたらくひとのかずがへっている。この もんだいをかいけつするために、せいふはロボットやじんこうちのうのりようをすすめている。こうじょうやびょういんなどで、すでにロボットがひとのかわりにさまざまなさぎょうをおこなっている。,こうじょうや びょういんでは なにが おきて いますか。,ロボットがひとのかわりにさぎょうしている,ひとがふえている,きかいがこわれている,きゅうりょうがへっている,A,The passage says robots are already doing various tasks in place of people.,공장이나 병원에서는 이미 로봇이 사람을 대신해 작업하고 있다고 나와 있습니다.,4,3,short_passage,legacy_app_authored
n3-reading-d-1,N3,reading,わたしがはじめてひとりぐらしをしたのは、だいがくにはいったときだった。りょうりもせんたくもじぶんでしなければならず、さいしょはたいへんだった。しかし、じかんがたつにつれて、じぶんのせいかつをかんりするちからがついてきたとかんじている。いまでは、ひとりぐらしをしてよかったとおもっている。,この ひとが はじめて ひとりぐらしを したのは いつですか。,こうこうにはいったとき,だいがくにはいったとき,しゅうしょくしたとき,けっこんしたとき,B,The passage says it was when they entered university.,대학에 들어갔을 때 처음 혼자 살았다고 나와 있습니다.,5,3,mid_size_passage,legacy_app_authored
n3-reading-d-2,N3,reading,わたしがはじめてひとりぐらしをしたのは、だいがくにはいったときだった。りょうりもせんたくもじぶんでしなければならず、さいしょはたいへんだった。しかし、じかんがたつにつれて、じぶんのせいかつをかんりするちからがついてきたとかんじている。いまでは、ひとりぐらしをしてよかったとおもっている。,さいしょ、なにが たいへんでしたか。,りょうりやせんたくをじぶんですること,がくひをはらうこと,ともだちをつくること,しごとをさがすこと,A,The passage says having to cook and do laundry themselves was tough at first.,요리와 빨래를 스스로 해야 하는 것이 힘들었다고 나와 있습니다.,6,3,long_passage,legacy_app_authored
n3-reading-d-3,N3,reading,わたしがはじめてひとりぐらしをしたのは、だいがくにはいったときだった。りょうりもせんたくもじぶんでしなければならず、さいしょはたいへんだった。しかし、じかんがたつにつれて、じぶんのせいかつをかんりするちからがついてきたとかんじている。いまでは、ひとりぐらしをしてよかったとおもっている。,いま、この ひとは ひとりぐらしに ついて どう おもって いますか。,よかった,こうかいしている,つらい,つまらない,A,The passage says they now feel glad they lived alone.,지금은 혼자 살아서 다행이라고 생각한다고 나와 있습니다.,7,3,information_retrieval,legacy_app_authored
n2-reading-a-1,N2,reading,にほんの きぎょうでは、ながねん ねんこうじょれつというせいどがいじされてきた。これは、きんぞくねんすうにおうじてきゅうよやちいがきまるしくみである。しかし、きんねん、せいかしゅぎをどうにゅうするきぎょうがふえており、わかいせだいのなかにはねんこうじょれつにたいしてふまんをもつひともすくなくない。いっぽうで、せいかしゅぎにはひょうかのこうへいせいをどうたもつかというかだいもある。,ねんこうじょれつとは どのような せいどですか。,きんぞくねんすうにおうじてきゅうよやちいがきまるしくみ,せいかにおうじてきゅうよがきまるしくみ,ねんれいにかんけいなくきゅうよがきまるしくみ,がくれきでちいがきまるしくみ,A,The passage defines seniority system as pay/rank based on years of service.,연공서열은 근속 연수에 따라 급여나 지위가 정해지는 제도라고 나와 있습니다.,10,1,short_passage,legacy_app_authored
n2-reading-a-2,N2,reading,にほんの きぎょうでは、ながねん ねんこうじょれつというせいどがいじされてきた。これは、きんぞくねんすうにおうじてきゅうよやちいがきまるしくみである。しかし、きんねん、せいかしゅぎをどうにゅうするきぎょうがふえており、わかいせだいのなかにはねんこうじょれつにたいしてふまんをもつひともすくなくない。いっぽうで、せいかしゅぎにはひょうかのこうへいせいをどうたもつかというかだいもある。,わかいせだいは ねんこうじょれつに たいして どう かんじて いますか。,ふまんをもつひとがすくなくない,みんなまんぞくしている,きょうみがない,かんぜんにさんせいしている,A,The passage says not a few young people feel dissatisfied with seniority-based systems.,젊은 세대 중에는 연공서열에 불만을 가진 사람이 적지 않다고 나와 있습니다.,11,1,mid_size_passage,legacy_app_authored
n2-reading-a-3,N2,reading,にほんの きぎょうでは、ながねん ねんこうじょれつというせいどがいじされてきた。これは、きんぞくねんすうにおうじてきゅうよやちいがきまるしくみである。しかし、きんねん、せいかしゅぎをどうにゅうするきぎょうがふえており、わかいせだいのなかにはねんこうじょれつにたいしてふまんをもつひともすくなくない。いっぽうで、せいかしゅぎにはひょうかのこうへいせいをどうたもつかというかだいもある。,せいかしゅぎには どのような かだいが ありますか。,ひょうかのこうへいせいをどうたもつか,きゅうよがひくくなること,しゃいんがやめること,けいえいがあくかすること,A,The passage says a challenge of merit-based systems is maintaining fairness in evaluation.,성과주의에는 평가의 공정성을 어떻게 유지할지가 과제라고 나와 있습니다.,12,1,integrated_comprehension,legacy_app_authored
n2-reading-b-1,N2,reading,きんねん、リモートワークをどうにゅうするきぎょうがきゅうぞうしている。つうきんじかんがへることで、じゅうぎょういんのわーくらいふばらんすがかいぜんされるいっぽう、どうりょうとのコミュニケーションぶそくやこどくかんをうったえるこえもある。きぎょうがわは、ていきてきなオンラインかいぎやこべつめんだんをとりいれることで、こうしたもんだいにたいおうしようとしている。,リモートワークの メリットは なんですか。,わーくらいふばらんすのかいぜん,きゅうよのぞうか,コミュニケーションのぞうか,つうきんじかんのぞうか,A,"The passage says commute time decreases, improving work-life balance.",재택근무의 장점은 워크라이프 밸런스 개선이라고 나와 있습니다.,13,1,thematic_long_passage,legacy_app_authored
n2-reading-b-2,N2,reading,きんねん、リモートワークをどうにゅうするきぎょうがきゅうぞうしている。つうきんじかんがへることで、じゅうぎょういんのわーくらいふばらんすがかいぜんされるいっぽう、どうりょうとのコミュニケーションぶそくやこどくかんをうったえるこえもある。きぎょうがわは、ていきてきなオンラインかいぎやこべつめんだんをとりいれることで、こうしたもんだいにたいおうしようとしている。,リモートワークの もんだいてんは なんですか。,コミュニケーションぶそくやこどくかん,つうきんじかんがながいこと,きゅうよがひくいこと,しごとがおおいこと,A,The passage says lack of communication and isolation are concerns.,동료와의 소통 부족과 고독감을 호소하는 목소리가 있다고 나와 있습니다.,14,1,information_retrieval,legacy_app_authored
n2-reading-b-3,N2,reading,きんねん、リモートワークをどうにゅうするきぎょうがきゅうぞうしている。つうきんじかんがへることで、じゅうぎょういんのわーくらいふばらんすがかいぜんされるいっぽう、どうりょうとのコミュニケーションぶそくやこどくかんをうったえるこえもある。きぎょうがわは、ていきてきなオンラインかいぎやこべつめんだんをとりいれることで、こうしたもんだいにたいおうしようとしている。,きぎょうは もんだいに たいおうする ために なにを して いますか。,ていきてきなオンラインかいぎやこべつめんだん,リモートワークのちゅうし,きゅうよのさくげん,ふくぎょうのきんし,A,The passage says companies hold regular online meetings and individual talks.,정기적인 온라인 회의와 개별 면담을 도입하고 있다고 나와 있습니다.,10,2,short_passage,legacy_app_authored
n2-reading-c-1,N2,reading,しょくりょうじきゅうりつのていかは、にほんがながねんかかえてきたもんだいのひとつである。げんざい、にほんのしょくりょうじきゅうりつはやく38パーセントで、せんしんこくのなかでもひくいすいじゅんにとどまっている。せいふはこくないのうぎょうをかっせいかさせるために、わかいのうぎょうしゃへのしえんやスマートのうぎょうのすいしんなど、さまざまなたいさくをすすめている。,にほんの しょくりょうじきゅうりつは どのくらいですか。,やく38パーセント,やく68パーセント,やく18パーセント,やく88パーセント,A,The passage says Japan's food self-sufficiency rate is about 38%.,일본의 식량 자급률은 약 38%라고 나와 있습니다.,11,2,mid_size_passage,legacy_app_authored
n2-reading-c-2,N2,reading,しょくりょうじきゅうりつのていかは、にほんがながねんかかえてきたもんだいのひとつである。げんざい、にほんのしょくりょうじきゅうりつはやく38パーセントで、せんしんこくのなかでもひくいすいじゅんにとどまっている。せいふはこくないのうぎょうをかっせいかさせるために、わかいのうぎょうしゃへのしえんやスマートのうぎょうのすいしんなど、さまざまなたいさくをすすめている。,にほんの しょくりょうじきゅうりつは せかいてきに みて どうですか。,ひくいすいじゅん,たかいすいじゅん,へいきんてきなすいじゅん,せかいでいちばんたかい,A,The passage says it remains at a low level among developed countries.,선진국 중에서도 낮은 수준에 머물러 있다고 나와 있습니다.,12,2,integrated_comprehension,legacy_app_authored
n2-reading-c-3,N2,reading,しょくりょうじきゅうりつのていかは、にほんがながねんかかえてきたもんだいのひとつである。げんざい、にほんのしょくりょうじきゅうりつはやく38パーセントで、せんしんこくのなかでもひくいすいじゅんにとどまっている。せいふはこくないのうぎょうをかっせいかさせるために、わかいのうぎょうしゃへのしえんやスマートのうぎょうのすいしんなど、さまざまなたいさくをすすめている。,せいふは どのような たいさくを すすめて いますか。,わかいのうぎょうしゃへのしえんやスマートのうぎょうのすいしん,のうぎょうのはいし,ゆにゅうのきんし,のうちのはいばい,A,The passage says the government supports young farmers and promotes smart agriculture.,정부는 청년 농업인 지원과 스마트 농업 추진 등 대책을 추진하고 있다고 나와 있습니다.,13,2,thematic_long_passage,legacy_app_authored
n2-reading-d-1,N2,reading,こどもの どくしょばなれが しんこくな もんだいと なって いる。げんいんの ひとつとして、スマートフォンやゲームなど、ほんいがいの ごらくが おおくなったことが あげられる。としょかんや がっこうでは、どくしょのたのしさをつたえるために、さまざまなイベントをかいさいしているが、こうかは かぎられているのが げんじょうだ。,こどもの どくしょばなれの げんいんの ひとつは なんですか。,ほんいがいのごらくのぞうか,がっこうのへんか,としょかんのすうのげんしょう,ほんのねだんのじょうしょう,A,The passage says increased non-book entertainment like smartphones and games is a cause.,책 이외의 오락 증가가 원인 중 하나라고 나와 있습니다.,14,2,information_retrieval,legacy_app_authored
n2-reading-d-2,N2,reading,こどもの どくしょばなれが しんこくな もんだいと なって いる。げんいんの ひとつとして、スマートフォンやゲームなど、ほんいがいの ごらくが おおくなったことが あげられる。としょかんや がっこうでは、どくしょのたのしさをつたえるために、さまざまなイベントをかいさいしているが、こうかは かぎられているのが げんじょうだ。,としょかんや がっこうは どのような とりくみを して いますか。,どくしょのたのしさをつたえるイベント,ほんのねだんをさげる,スマートフォンのきんし,きょうかしょのさくげん,A,The passage says libraries and schools hold events to convey the joy of reading.,도서관이나 학교에서는 독서의 즐거움을 전하는 이벤트를 열고 있다고 나와 있습니다.,10,3,short_passage,legacy_app_authored
n2-reading-d-3,N2,reading,こどもの どくしょばなれが しんこくな もんだいと なって いる。げんいんの ひとつとして、スマートフォンやゲームなど、ほんいがいの ごらくが おおくなったことが あげられる。としょかんや がっこうでは、どくしょのたのしさをつたえるために、さまざまなイベントをかいさいしているが、こうかは かぎられているのが げんじょうだ。,その とりくみの こうかは どうですか。,かぎられている,とてもおおきい,まったくない,かんぜんにかいけつした,A,The passage says the effect remains limited.,그 효과는 제한적이라고 나와 있습니다.,11,3,mid_size_passage,legacy_app_authored
n1-reading-a-1,N1,reading,げんだいの じょうほうしゃかいに おいて、じんこうちのうの はってんは、わたしたちの しごとの ありかたを ねほんてきに かえつつある。いちぶの しょくしゅでは、ルーティンぎょうむが じどうかされることで、にんげんは より そうぞうてきで せんりゃくてきな ぎょうむに ちからを そそぐことができるようになると きたいされている。しかし、いっぽうで、ぎじゅつのしんぽについていけないひとや、しょくをうしなうひとがでてくるかのうせいもいなめず、しゃかいぜんたいでの てきおうしえんが もとめられている。,じんこうちのうの はってんに よって、なにが かわりつつ ありますか。,わたしたちのしごとのありかた,きこうへんどう,じんこうのぞうか,がくれきしゃかい,A,The passage says AI development is fundamentally changing the nature of our work.,인공지능의 발전으로 우리의 일하는 방식이 근본적으로 바뀌고 있다고 나와 있습니다.,8,1,short_passage,legacy_app_authored
n1-reading-a-2,N1,reading,げんだいの じょうほうしゃかいに おいて、じんこうちのうの はってんは、わたしたちの しごとの ありかたを ねほんてきに かえつつある。いちぶの しょくしゅでは、ルーティンぎょうむが じどうかされることで、にんげんは より そうぞうてきで せんりゃくてきな ぎょうむに ちからを そそぐことができるようになると きたいされている。しかし、いっぽうで、ぎじゅつのしんぽについていけないひとや、しょくをうしなうひとがでてくるかのうせいもいなめず、しゃかいぜんたいでの てきおうしえんが もとめられている。,ルーティンぎょうむの じどうかに よって、にんげんは なにに ちからを そそげると きたいされて いますか。,そうぞうてきでせんりゃくてきなぎょうむ,たんじゅんさぎょう,きゅうかをとること,たいしょくすること,A,The passage expects people to focus on creative and strategic work.,인간은 더 창의적이고 전략적인 업무에 힘을 쏟을 수 있게 될 것으로 기대된다고 나와 있습니다.,9,1,mid_size_passage,legacy_app_authored
n1-reading-a-3,N1,reading,げんだいの じょうほうしゃかいに おいて、じんこうちのうの はってんは、わたしたちの しごとの ありかたを ねほんてきに かえつつある。いちぶの しょくしゅでは、ルーティンぎょうむが じどうかされることで、にんげんは より そうぞうてきで せんりゃくてきな ぎょうむに ちからを そそぐことができるようになると きたいされている。しかし、いっぽうで、ぎじゅつのしんぽについていけないひとや、しょくをうしなうひとがでてくるかのうせいもいなめず、しゃかいぜんたいでの てきおうしえんが もとめられている。,いっぽうで どのような かねんせいが しめされて いますか。,ぎじゅつにていけないひとがしょくをうしなうこと,きぎょうがりえきをうしなうこと,じんこうちのうがこしょうすること,しゃかいがあんていすること,A,The passage says there's a risk people who can't keep up with technology may lose jobs.,기술 발전을 따라가지 못하는 사람이 직업을 잃을 가능성도 부정할 수 없다고 나와 있습니다.,10,1,long_passage,legacy_app_authored
